,Player,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds.1,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
0,a'shawn robinson,17.0,13.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,34.0,28.0,6.0,1.0,0.0,0.0
1,aaron donald,13.5,13.5,0.0,0.0,0.0,0.0,2.5,0.5,0.0,0.5,0.0,0.0,6.5,51.0,27.5,23.5,13.0,17.0,0.0,7.5
2,abdullah anderson,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.25,5.0,3.0,2.0,0.5,0.5,0.0,0.0
3,adam butler,17.0,0.5,0.0,0.0,0.0,0.0,3.5,0.5,0.0,0.0,0.0,0.0,3.5,22.5,12.5,10.0,5.0,7.0,0.0,0.0
4,adam gotsis,13.25,3.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.25,0.0,0.0,1.375,20.0,13.0,7.0,3.0,6.25,0.0,0.0
5,adetomiwa adebawore,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,6.0,4.5,1.5,2.0,3.0,0.0,0.0
6,adrian phillips,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,10.0,7.0,0.0,0.0,0.0,0.0
7,aidan hutchinson,11.0,11.0,0.5,3.0,0.0,3.0,3.5,2.0,0.0,1.0,0.0,0.0,9.5,35.0,24.0,11.0,10.5,25.0,0.0,3.0
8,aj epenesa,14.666666666666666,1.0,0.6666666666666666,12.666666666666666,0.3333333333333333,10.666666666666666,4.666666666666667,1.0,0.0,0.6666666666666666,0.0,0.0,4.833333333333333,16.666666666666668,10.0,6.666666666666667,5.333333333333333,9.666666666666666,0.0,0.0
9,akeem spence,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,2.0,3.5,0.0,0.0,0.0,0.0
10,akiem hicks,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,25.0,19.0,6.0,5.0,9.0,0.0,0.0
11,al woods,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,4.0,2.0,2.0,2.0,0.0,0.0
12,al-quadin muhammad,9.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0,3.0,4.0,5.0,0.0,0.0
13,albert huggins,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,19.0,5.0,14.0,0.0,2.0,0.0,0.0
14,alex barrett,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
15,alex okafor,17.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.5,23.0,7.0,16.0,0.0,7.0,0.0,0.0
16,alex wright,12.333333333333334,2.0,0.0,0.0,0.0,0.0,2.3333333333333335,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,2.0,20.333333333333332,11.333333333333334,9.0,3.0,2.0,0.3333333333333333,0.0
17,alim mcneill,13.0,13.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,32.0,17.0,15.0,6.0,10.0,0.0,0.0
18,alton robinson,16.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,22.0,13.0,9.0,5.0,3.0,0.0,0.0
19,amani bledsoe,5.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20,amare barno,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,8.0,1.0,2.0,2.0,0.0,0.0
21,andre carter ii,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,1.0,0.0,1.0,0.0,0.0
22,andre jones,8.0,1.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.0,1.5,0.0,0.0,0.0,0.0
23,andrew billings,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,12.0,15.0,3.0,2.0,0.0,0.0
24,andrew brown,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
25,angelo blackson,9.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,12.0,6.333333333333333,5.666666666666667,1.0,0.3333333333333333,0.0,0.0
26,anthony nelson,17.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,22.0,13.0,9.0,7.0,10.0,0.0,0.0
27,antwaun woods,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0
28,arden key,17.0,1.5,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.5,0.0,0.0,5.5,24.5,13.5,11.0,5.0,16.0,0.0,0.0
29,arik armstead,17.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,29.0,21.0,8.0,3.0,7.0,0.0,0.0
30,armon watts,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,11.0,4.5,6.5,1.0,1.5,0.0,0.0
31,arron mosby,16.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.5,12.0,6.0,6.0,1.0,2.0,0.0,0.0
32,austin booker,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,21.0,14.0,7.0,3.0,4.0,0.0,0.0
33,austin bryant,5.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.5,1.5,0.5,1.5,0.0,0.0
34,austin faoliu,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
35,austin johnson,16.0,9.0,1.0,4.5,0.0,2.5,2.0,0.5,0.0,0.5,0.0,0.0,0.25,32.5,15.5,17.0,1.0,1.0,0.0,0.0
36,ben stille,6.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,5.666666666666667,2.3333333333333335,3.3333333333333335,0.3333333333333333,1.0,0.0,0.0
