Year,Player,Career AV
2020,Trey Adams,0
2020,Hakeem Adeniji,0
2020,McTelvin Agim,2
2020,Salvon Ahmed,0
2020,Brandon Aiyuk,39
2020,Cam Akers,13
2020,Bradlee Anae,0
2020,Tremayne Anchrum,0
2020,Jet Anderson,0
2020,Damon Arnette,2
2020,Grayland Arnold,0
2020,Devin Asiasi,0
2020,Joe Bachie,0
2020,Markus Bailey,0
2020,Trajan Bandy,0
2020,Ben Bartch,8
2020,Tyler Bass,0
2020,Essang Bassey,0
2020,Zack Baun,28
2020,Omar Bayless,0
2020,Mekhi Becton,15
2020,LeVante Bellamy,0
2020,Eno Benjamin,0
2020,Francis Bernard,0
2020,Tyler Biadasz,0
2020,Daniel Bituli,0
2020,Ross Blacklock,4
2020,Julian Blackmon,20
2020,Rodrigo Blankenship,0
2020,Lynn Bowden,3
2020,Shaun Bradley,0
2020,Ben Bredeson,0
2020,Jacob Breeland,0
2020,Jordyn Brooks,30
2020,Cameron Brown,0
2020,Derrick Brown,28
2020,Tony Brown,0
2020,Harrison Bryant,7
2020,Hunter Bryant,0
2020,Kelly Bryant,0
2020,Myles Bryant,0
2020,Terrell Burgess,3
2020,Joe Burrow,58
2020,Cohl Cabral,0
2020,Lawrence Cager,0
2020,Raymond Calais,0
2020,Marquez Callaway,0
2020,Shyheim Carter,0
2020,Quintez Cephus,0
2020,K'Lavon Chaisson,10
2020,Saahdiq Charles,8
2020,Joseph Charlton,0
2020,Jeremy Chinn,38
2020,Cameron Clark,0
2020,Nevelle Clarke,0
2020,Chase Claypool,19
2020,Rodney Clemons,0
2020,Ezra Cleveland,26
2020,Tyrie Cleveland,0
2020,Josiah Coatney,0
2020,Nick Coe,0
2020,Kendall Coleman,0
2020,Trystan Colon-Castillo,0
2020,Carter Coughlin,0
2020,Isaiah Coulter,0
2020,Kamren Curl,0
2020,Lloyd Cushenberry,23
2020,DeeJay Dallas,0
2020,Darrion Daniels,0
2020,Cameron Dantzler,10
2020,Kevin Davidson,0
2020,Marlon Davidson,5
2020,Ashtyn Davis,10
2020,Carlos Davis,0
2020,Gabriel Davis,27
2020,Javaris Davis,0
2020,Khalil Davis,0
2020,Quartney Davis,0
2020,Raekwon Davis,23
2020,Akeem Davis-Gaither,9
2020,Josiah Deguara,4
2020,Grant Delpit,20
2020,Trevon Diggs,31
2020,AJ Dillon,23
2020,Michael Divinity,0
2020,J.K. Dobbins,17
