player,pos,school,wt,40yd,vertical,bench,broad jump,3cone,shuttle,ht_num,round
Hakeem Adeniji,OL,Kansas,302,5.17,34.0,26,115,NA,NA,6.333333333333333,6
McTelvin Agim,DL,Arkansas,309,4.98,NA,27,NA,NA,NA,6.25,3
Brandon Aiyuk,WR,Arizona State,205,4.50,40.0,11,128,NA,NA,6.0,1
Cam Akers,RB,Florida State,217,4.47,35.5,20,122,NA,4.42,5.833333333333333,2
Bradlee Anae,DL,Utah,257,4.93,31.0,25,115,7.44,4.43,6.25,5
Tremayne Anchrum,OL,Clemson,314,5.21,24.5,26,104,NA,NA,6.166666666666667,7
Damon Arnette,CB,Ohio State,195,4.56,NA,NA,NA,NA,NA,6.0,1
Devin Asiasi,TE,UCLA,257,4.73,30.5,16,115,NA,NA,6.25,3
Markus Bailey,LB,Purdue,235,NA,NA,15,NA,NA,NA,6.0,7
Ben Bartch,OL,Saint John's (MN),309,NA,NA,NA,NA,NA,NA,6.5,4
Tyler Bass,K,Georgia Southern,185,NA,NA,NA,NA,NA,NA,5.833333333333333,6
Zack Baun,LB,Wisconsin,238,4.65,32.5,24,115,7.00,4.31,6.166666666666667,3
Mekhi Becton,OL,Louisville,364,5.10,NA,23,NA,NA,NA,6.583333333333333,1
Eno Benjamin,RB,Arizona State,207,4.57,39.0,12,122,6.97,4.25,5.75,7
Tyler Biadasz,OL,Wisconsin,314,NA,NA,NA,NA,NA,NA,6.333333333333333,4
Ross Blacklock,DL,TCU,290,4.90,29.0,NA,107,7.77,4.67,6.25,2
Julian Blackmon,S,Utah,187,NA,NA,NA,NA,NA,NA,6.0,3
Lynn Bowden,WR,Kentucky,204,NA,NA,13,NA,NA,NA,5.916666666666667,3
Shaun Bradley,LB,Temple,235,4.51,32.5,14,121,7.07,4.24,6.083333333333333,6
Ben Bredeson,OL,Michigan,315,NA,NA,NA,NA,NA,NA,6.416666666666667,4
Jordyn Brooks,LB,Texas Tech,240,4.54,NA,NA,NA,NA,NA,6.0,1
Cameron Brown,LB,Penn State,233,4.72,35.5,16,123,NA,NA,6.416666666666667,6
Derrick Brown,DL,Auburn,326,5.16,27.0,28,108,8.22,4.79,6.416666666666667,1
Harrison Bryant,TE,Florida Atlantic,243,4.73,32.5,13,110,7.41,4.37,6.416666666666667,4
Terrell Burgess,S,Utah,202,4.46,33.5,20,122,NA,NA,5.916666666666667,3
Joe Burrow,QB,LSU,221,NA,NA,NA,NA,NA,NA,6.25,1
Raymond Calais,RB,Louisiana-Lafayette,188,4.42,37.5,20,120,NA,NA,5.666666666666667,7
Quintez Cephus,WR,Wisconsin,202,4.73,38.5,23,124,7.20,4.33,6.083333333333333,5
K'Lavon Chaisson,LB,LSU,254,NA,NA,NA,NA,NA,NA,6.25,1
Saahdiq Charles,OL,LSU,321,5.05,NA,NA,NA,NA,NA,6.333333333333333,4
Jeremy Chinn,S,Southern Illinois,221,4.45,41.0,20,138,NA,NA,6.25,2
Cameron Clark,OL,Charlotte,308,5.29,25.0,26,101,NA,NA,6.333333333333333,4
Chase Claypool,WR,Notre Dame,238,4.42,40.5,19,126,NA,NA,6.333333333333333,2
Ezra Cleveland,OL,Boise State,311,4.93,30.0,30,111,7.26,4.46,6.5,2
Tyrie Cleveland,WR,Florida,209,4.46,39.5,13,126,NA,NA,6.166666666666667,7
Carter Coughlin,LB,Minnesota,236,4.57,36.0,NA,126,NA,NA,6.25,7
Isaiah Coulter,WR,Rhode Island,198,4.45,36.0,NA,121,7.28,4.62,6.166666666666667,5
Kamren Curl,S,Arkansas,206,4.60,34.5,24,125,NA,NA,6.083333333333333,7
Lloyd Cushenberry,OL,LSU,312,5.27,NA,25,NA,NA,NA,6.25,3
DeeJay Dallas,RB,Miami,217,4.58,33.5,NA,119,7.18,4.32,5.833333333333333,4
Cameron Dantzler,CB,Mississippi State,188,4.64,34.5,NA,NA,NA,NA,6.166666666666667,3
Marlon Davidson,DL,Auburn,303,5.04,NA,21,NA,NA,NA,6.25,2
Ashtyn Davis,S,California,202,NA,NA,14,NA,NA,NA,6.083333333333333,3
Carlos Davis,DL,Nebraska,313,4.82,NA,27,NA,NA,4.52,6.166666666666667,7
Gabriel Davis,WR,UCF,216,4.54,35.0,14,124,7.08,4.59,6.166666666666667,4
Khalil Davis,DL,Nebraska,308,4.75,NA,32,NA,NA,NA,6.083333333333333,6
Raekwon Davis,DL,Alabama,311,5.12,28.0,24,111,7.95,4.86,6.5,2
Akeem Davis-Gaither,LB,Appalachian State,224,NA,NA,21,NA,NA,NA,6.083333333333333,4
Josiah Deguara,TE,Cincinnati,242,4.72,35.5,25,115,7.15,4.35,6.166666666666667,3
Grant Delpit,S,LSU,213,NA,NA,NA,NA,NA,NA,6.166666666666667,2
Trevon Diggs,CB,Alabama,205,NA,NA,NA,NA,NA,NA,6.083333333333333,2
AJ Dillon,RB,Boston College,247,4.53,41.0,23,131,7.19,NA,6.0,2
J.K. Dobbins,RB,Ohio State,209,NA,NA,23,NA,NA,NA,5.75,2
Jack Driscoll,OL,Auburn,306,5.02,29.5,23,114,NA,NA,6.416666666666667,4
Kyle Dugger,S,Lenoir-Rhyne,217,4.49,42.0,17,134,NA,NA,6.083333333333333,2
Devin Duvernay,WR,Texas,200,4.39,35.5,NA,123,7.13,4.20,5.833333333333333,3
Troy Dye,LB,Oregon,231,NA,NA,NA,NA,NA,NA,6.25,4
Jacob Eason,QB,Washington,231,4.89,27.5,NA,110,7.50,4.75,6.5,4
Bryan Edwards,WR,South Carolina,212,NA,NA,NA,NA,NA,NA,6.25,3
Clyde Edwards-Helaire,RB,LSU,207,4.60,39.5,15,123,NA,NA,5.583333333333333,1
Jordan Elliott,DL,Missouri,302,5.02,27.5,24,NA,NA,4.73,6.333333333333333,3
A.J. Epenesa,DL,Iowa,275,5.04,32.5,17,117,7.34,4.46,6.416666666666667,2
Darrynton Evans,RB,Appalachian State,203,4.41,37.0,20,125,NA,NA,5.833333333333333,3
Blake Ferguson,LS,LSU,229,5.07,31.0,NA,112,7.43,4.52,6.25,6
Leki Fotu,DL,Utah,330,5.15,NA,21,NA,NA,NA,6.416666666666667,4
Jake Fromm,QB,Georgia,219,5.01,30.0,NA,111,7.27,4.51,6.166666666666667,5
Jordan Fuller,S,Ohio State,203,4.67,35.5,NA,122,NA,4.27,6.166666666666667,6
Kristian Fulton,CB,LSU,197,4.46,35.5,NA,123,6.94,4.36,6.0,2
Neville Gallimore,DL,Oklahoma,304,4.79,NA,23,NA,7.97,5.01,6.166666666666667,3
Antonio Gandy-Golden,WR,Liberty,223,4.60,36.0,22,127,7.33,4.55,6.333333333333333,4
Jonathan Garvin,DL,Miami,263,4.82,36.0,23,125,NA,NA,6.333333333333333,7
Antonio Gibson,WR,Memphis,228,4.39,35.0,16,118,NA,NA,6.0,3
Alohi Gilman,S,Notre Dame,201,4.60,32.0,17,119,6.81,4.08,5.833333333333333,6
Trevis Gipson,DL,Tulsa,261,NA,NA,25,NA,NA,NA,6.25,5
Jeff Gladney,CB,TCU,191,4.48,37.5,17,124,7.26,NA,5.833333333333333,1
Jonathan Greenard,DL,Florida,263,4.87,30.5,22,113,7.13,4.34,6.25,3
Yetur Gross-Matos,DL,Penn State,266,NA,34.0,20,120,NA,NA,6.416666666666667,2
Bryce Hall,CB,Virginia,202,NA,NA,11,NA,NA,NA,6.083333333333333,5
DaVon Hamilton,DL,Ohio State,320,5.14,29.5,33,102,7.72,NA,6.333333333333333,3
KJ Hamler,WR,Penn State,178,NA,NA,15,NA,NA,NA,5.75,2
Harrison Hand,CB,Temple,197,4.52,41.0,14,133,7.15,4.27,5.916666666666667,5
Jake Hanson,OL,Oregon,303,5.50,NA,33,NA,NA,NA,6.333333333333333,6
Nick Harris,OL,Washington,302,5.10,29.5,20,103,NA,NA,6.083333333333333,5
Malik Harrison,LB,Ohio State,247,4.66,36.0,NA,122,6.83,4.32,6.25,3
Jaylinn Hawkins,S,California,208,NA,35.5,NA,117,NA,NA,6.083333333333333,4
Charlie Heck,OL,North Carolina,311,5.16,28.0,21,112,8.02,4.86,6.666666666666667,4
C.J. Henderson,CB,Florida,204,4.39,37.5,20,127,NA,NA,6.083333333333333,1
