player,pos,school,wt,40yd,vertical,bench,broad jump,3cone,shuttle,round,ht_num,year,career av
Hakeem Adeniji,OL,Kansas,302,5.17,34.0,26,115,NA,NA,6,6.333333333333333,2020.0,0.0
McTelvin Agim,DL,Arkansas,309,4.98,NA,27,NA,NA,NA,3,6.25,2020.0,2.0
Brandon Aiyuk,WR,Arizona State,205,4.50,40.0,11,128,NA,NA,1,6.0,2020.0,39.0
Cam Akers,RB,Florida State,217,4.47,35.5,20,122,NA,4.42,2,5.833333333333333,2020.0,13.0
Bradlee Anae,DL,Utah,257,4.93,31.0,25,115,7.44,4.43,5,6.25,2020.0,0.0
Tremayne Anchrum,OL,Clemson,314,5.21,24.5,26,104,NA,NA,7,6.166666666666667,2020.0,0.0
Damon Arnette,CB,Ohio State,195,4.56,NA,NA,NA,NA,NA,1,6.0,2020.0,2.0
Devin Asiasi,TE,UCLA,257,4.73,30.5,16,115,NA,NA,3,6.25,2020.0,0.0
Markus Bailey,LB,Purdue,235,NA,NA,15,NA,NA,NA,7,6.0,2020.0,0.0
Ben Bartch,OL,Saint John's (MN),309,NA,NA,NA,NA,NA,NA,4,6.5,2020.0,8.0
Tyler Bass,K,Georgia Southern,185,NA,NA,NA,NA,NA,NA,6,5.833333333333333,2020.0,0.0
Zack Baun,LB,Wisconsin,238,4.65,32.5,24,115,7.00,4.31,3,6.166666666666667,2020.0,28.0
Mekhi Becton,OL,Louisville,364,5.10,NA,23,NA,NA,NA,1,6.583333333333333,2020.0,15.0
Eno Benjamin,RB,Arizona State,207,4.57,39.0,12,122,6.97,4.25,7,5.75,2020.0,0.0
Tyler Biadasz,OL,Wisconsin,314,NA,NA,NA,NA,NA,NA,4,6.333333333333333,2020.0,0.0
Ross Blacklock,DL,TCU,290,4.90,29.0,NA,107,7.77,4.67,2,6.25,2020.0,4.0
Julian Blackmon,S,Utah,187,NA,NA,NA,NA,NA,NA,3,6.0,2020.0,20.0
Lynn Bowden,WR,Kentucky,204,NA,NA,13,NA,NA,NA,3,5.916666666666667,2020.0,3.0
Shaun Bradley,LB,Temple,235,4.51,32.5,14,121,7.07,4.24,6,6.083333333333333,2020.0,0.0
Ben Bredeson,OL,Michigan,315,NA,NA,NA,NA,NA,NA,4,6.416666666666667,2020.0,0.0
Jordyn Brooks,LB,Texas Tech,240,4.54,NA,NA,NA,NA,NA,1,6.0,2020.0,30.0
Cameron Brown,LB,Penn State,233,4.72,35.5,16,123,NA,NA,6,6.416666666666667,2020.0,0.0
Derrick Brown,DL,Auburn,326,5.16,27.0,28,108,8.22,4.79,1,6.416666666666667,2020.0,28.0
Harrison Bryant,TE,Florida Atlantic,243,4.73,32.5,13,110,7.41,4.37,4,6.416666666666667,2020.0,7.0
Terrell Burgess,S,Utah,202,4.46,33.5,20,122,NA,NA,3,5.916666666666667,2020.0,3.0
